FishID,Year,DateTime,Longitude,Latitude,Live,Depth_m,ShoreDist_m,endDOY,dayssince,Distance,distday
12,2009,2009-06-16T12:15:00.000000Z,-76.08076388888888,43.23637333333333,1,3.048,NA,167,NA,NA,NA
12,2009,2009-06-16T14:45:00.000000Z,-76.08109444444445,43.22170277777778,1,4.572,NA,167,NA,NA,NA
12,2009,2009-07-09T11:05:00.000000Z,-76.08025833333333,43.236441666666664,1,3.048,NA,190,23,1638.69222555,71.2474880673913
12,2009,2009-07-15T11:00:00.000000Z,-76.07997999999999,43.23656666666667,1,3.6576000000000004,NA,196,6,25.376859454,4.229476575666667
12,2009,2009-07-20T11:15:00.000000Z,-76.08186,43.23672333,1,4.2672,300,201,5,144.516183240999,28.9032366481998
12,2009,2009-07-27T10:30:00.000000Z,-76.08644666666666,43.237880000000004,1,2.4384,50,208,7,372.852455884999,53.26463655499986
12,2009,2009-09-17T12:15:00.000000Z,-76.08241833,43.238595,1,1.8288000000000002,150,260,52,320.181208626999,6.157330935134596
12,2009,2009-09-23T12:35:00.000000Z,-76.08264667,43.23931333,1,1.2192,60,266,6,81.6846009640999,13.614100160683316
12,2009,2009-10-08T12:35:00.000000Z,-76.08248333,43.23951,1,1.2192,15,281,15,25.1546093428,1.6769739561866668
12,2010,2010-04-13T15:00:00.000000Z,-76.096975,43.24286,1,2.7,310,103,NA,NA,NA
12,2010,2010-04-21T10:32:00.000000Z,-76.11368833,43.25378667,1,0.9,56,111,8,1784.43503955,223.05437994375
12,2010,2010-04-30T13:01:00.000000Z,-76.11406333,43.252925,1,1.5,143,120,9,99.9130218031999,11.101446867022212
12,2010,2010-05-05T12:25:00.000000Z,-76.11312,43.253735,1,1.8,42,125,5,115.227137928999,23.0454275857998
12,2010,2010-05-11T12:50:00.000000Z,-76.11529333,43.25271,1,2.1,219,131,6,201.143415895,33.523902649166665
12,2010,2010-05-17T12:50:00.000000Z,-76.11189167,43.2545333,1,0.6,0,137,6,329.229947821999,54.87165797033317
12,2010,2010-05-26T15:15:00.000000Z,-76.0946,43.242049,1,3.4,274,146,9,2069.59930144,229.9554779377778
